BBL,ADDRESS,XCOORD,YCOORD
1003710003,10 AVENUE C,-73.98081,40.72077
1003560001,10 AVENUE D,-73.976385,40.72069
1004340001,100 1 AVENUE,-73.985851,40.726379
1004020040,100 AVENUE B,-73.981625,40.724803
1004340014,100 EAST 7 STREET,-73.98517,40.726508
1004350014,100 ST MARK'S PLACE,-73.984763,40.727126
1004340033,101 AVENUE A,-73.984046,40.725852
1004350052,101 EAST 7 STREET,-73.984837,40.72684
1004360050,101 ST MARK'S PLACE,-73.984314,40.727438
1004020039,102 AVENUE B,-73.98162,40.724867
1003760007,102 AVENUE C,-73.9787,40.723849
1004340015,102 EAST 7 STREET,-73.985092,40.726475
1004350015,102 ST MARK'S PLACE,-73.984682,40.727092
1003890006,103 AVENUE B,-73.981151,40.724728
1004290014,103 EAST 2 STREET,-73.987542,40.723513
1004360048,103 ST MARK'S PLACE,-73.984213,40.727364
1004340003,104 1 AVENUE,-73.985758,40.726505
1004020037,104 AVENUE B,-73.981577,40.724918
1004340016,104 EAST 7 STREET,-73.985014,40.726442
1004350016,104 ST MARK'S PLACE,-73.98452,40.727023
1003890007,105 AVENUE B,-73.981109,40.724786
1003890031,105 AVENUE C,-73.979183,40.724091
1004290015,105 EAST 2 STREET,-73.987483,40.723467
1004020036,106 AVENUE B,-73.981533,40.724977
1003770072,106 AVENUE C,-73.978592,40.724134
1004340017,106 EAST 7 STREET,-73.984934,40.726408
1003900037,107 AVENUE C,-73.978992,40.724287
1003770037,107 AVENUE D,-73.976331,40.72363
1004290016,107 EAST 2 STREET,-73.987412,40.723437
1004350049,107 EAST 7 STREET,-73.984714,40.726788
1004360044,107 ST MARK'S PLACE,-73.984031,40.727295
1004340005,108 1 AVENUE,-73.985702,40.726583
1004020034,108 AVENUE B,-73.981479,40.725052
1004290049,108 EAST 1 STREET,-73.986802,40.722839
1004340029,109 AVENUE A,-73.983886,40.726073
1004290017,109 EAST 2 STREET,-73.987332,40.723404
1004350048,109 EAST 7 STREET,-73.984593,40.726734
1004360042,109 ST MARK'S PLACE,-73.983878,40.727223
1004290039,11 AVENUE A,-73.986295,40.722708
1003840007,11 AVENUE B,-73.983357,40.721733
1003840033,11 AVENUE C,-73.981472,40.72102
1003720039,11 AVENUE D,-73.978653,40.720527
1004340006,110 1 AVENUE,-73.985663,40.726636
1003770001,110 AVENUE C,-73.978457,40.724186
1004290047,110 EAST 1 STREET,-73.986711,40.722801
1004340019,110 EAST 7 STREET,-73.984779,40.726343
1004350019,110 ST MARK'S PLACE,-73.984343,40.726937
1004350037,111 AVENUE A,-73.983743,40.726261
1003900001,111 AVENUE B,-73.98079,40.725136
1003900036,111 AVENUE C,-73.978939,40.72436
1004290018,111 EAST 2 STREET,-73.987252,40.72337
1004350045,111 EAST 7 STREET,-73.984452,40.726678
1004360041,111 ST MARK'S PLACE,-73.9838,40.72719
1004340007,112 1 AVENUE,-73.985625,40.726688
1003770002,112 AVENUE C,-73.978393,40.724273
1004300010,112 EAST 3 STREET,-73.986183,40.723735
1004340020,112 EAST 7 STREET,-73.9847,40.726309
1004350036,113 AVENUE A,-73.983698,40.726323
1003900035,113 AVENUE C,-73.978906,40.724407
1004290019,113 EAST 2 STREET,-73.987173,40.723337
1004360040,113 ST MARK'S PLACE,-73.983721,40.727157
1004340008,114 1 AVENUE,-73.985588,40.726739
1004290045,114 EAST 1 STREET,-73.986593,40.722751
1004340021,114 EAST 7 STREET,-73.984582,40.72626
1004350021,114 ST MARK'S PLACE,-73.984239,40.726913
1004350035,115 AVENUE A,-73.983654,40.726384
1003900034,115 AVENUE C,-73.978872,40.724454
1003780039,115 AVENUE D,-73.97614,40.723896
1004290020,115 EAST 2 STREET,-73.987102,40.723307
1004360039,115 ST MARK'S PLACE,-73.983623,40.727115
1004340009,116 1 AVENUE,-73.985553,40.726787
1004350022,116 ST MARK'S PLACE,-73.984176,40.726891
1004350034,117 AVENUE A,-73.98361,40.726444
1004290021,117 EAST 2 STREET,-73.987174,40.723106
1004310040,117 EAST 3 STREET,-73.985863,40.724136
1004350043,117 EAST 7 STREET,-73.984292,40.726611
1004350001,118 1 AVENUE,-73.985437,40.726967
1003770005,118 AVENUE C,-73.978348,40.724367
1004290043,118 EAST 1 STREET,-73.986502,40.722713
1004340023,118 EAST 7 STREET,-73.984462,40.726209
1004350023,118 ST MARK'S PLACE,-73.984114,40.726852
1004350033,119 AVENUE A,-73.983568,40.726502
1003900105,119 AVENUE B,-73.980763,40.725313
1003780035,119 AVENUE D,-73.97612,40.724042
1004360037,119 ST MARK'S PLACE,-73.983505,40.727066
1004290001,12 1 AVENUE,-73.988123,40.723262
1003970035,12 AVENUE B,-73.983844,40.721851
1004350002,120 1 AVENUE,-73.985392,40.72703
1003770006,120 AVENUE C,-73.978317,40.72441
1004340024,120 EAST 7 STREET,-73.984383,40.726176
1004350024,120 ST MARK'S PLACE,-73.984032,40.726817
1004350032,121 AVENUE A,-73.983477,40.72654
1003900005,121 AVENUE B,-73.980516,40.725279
1004350042,121 EAST 7 STREET,-73.984192,40.726568
1004360036,121 ST MARK'S PLACE,-73.983364,40.726987
1004350004,122 1 AVENUE,-73.985293,40.727076
1003770007,122 AVENUE C,-73.978284,40.724455
1004340025,122 EAST 7 STREET,-73.984304,40.726142
1004350025,122 ST MARK'S PLACE,-73.983929,40.726774
1004350031,123 AVENUE A,-73.983434,40.726599
1003780034,123 AVENUE D,-73.976058,40.724127
1004350041,123 EAST 7 STREET,-73.984118,40.726536
1004350005,124 1 AVENUE,-73.985249,40.727136
1003770008,124 AVENUE C,-73.978248,40.724503
1004350030,125 AVENUE A,-73.983389,40.726662
1003780033,125 AVENUE D,-73.976017,40.724183
1004350040,125 EAST 7 STREET,-73.984039,40.726503
1004350006,126 1 AVENUE,-73.985197,40.727189
1003780001,126 AVENUE C,-73.977604,40.724646
1004340026,126 EAST 7 STREET,-73.984225,40.726109
1004350027,126 ST MARK'S PLACE,-73.983807,40.726722
1003910001,127 AVENUE B,-73.98044,40.725709
1003910038,127 AVENUE C,-73.978578,40.724881
1003780032,127 AVENUE D,-73.975974,40.724241
1004350039,127 EAST 7 STREET,-73.98396,40.72647
1004350007,128 1 AVENUE,-73.985226,40.72728
1004350028,128 ST MARK'S PLACE,-73.983706,40.72668
1003910037,129 AVENUE C,-73.978541,40.724932
1003780031,129 AVENUE D,-73.97593,40.724302
1004350038,129 EAST 7 STREET,-73.983881,40.726437
